date,year,month,rainfall_mm,climatology_mm,anomaly_mm,anomaly_pct,status,source
2024-06-01,2024,6,155.1,163,-7.9,-4.8,Normal,CHIRPS v3 (CHC/UCSB)
2024-07-01,2024,7,243.0,285,-42.0,-14.7,Deficit,CHIRPS v3 (CHC/UCSB)
2024-08-01,2024,8,247.3,263,-15.7,-6.0,Normal,CHIRPS v3 (CHC/UCSB)
2024-09-01,2024,9,173.5,167,6.5,3.9,Normal,CHIRPS v3 (CHC/UCSB)
2024-10-01,2024,10,72.4,70,2.4,3.4,Normal,CHIRPS v3 (CHC/UCSB)
2024-11-01,2024,11,23.4,29,-5.6,-19.3,Deficit,CHIRPS v3 (CHC/UCSB)
2024-12-01,2024,12,13.4,16,-2.6,-16.2,Deficit,CHIRPS v3 (CHC/UCSB)
2025-01-01,2025,1,10.6,17,-6.4,-37.6,Deficit,CHIRPS v3 (CHC/UCSB)
2025-02-01,2025,2,16.2,22,-5.8,-26.4,Deficit,CHIRPS v3 (CHC/UCSB)
2025-03-01,2025,3,13.3,28,-14.7,-52.5,Deficit,CHIRPS v3 (CHC/UCSB)
2025-04-01,2025,4,33.6,42,-8.4,-20.0,Deficit,CHIRPS v3 (CHC/UCSB)
2025-05-01,2025,5,115.5,62,53.5,86.3,Surplus,CHIRPS v3 (CHC/UCSB)
2025-06-01,2025,6,155.5,163,-7.5,-4.6,Normal,CHIRPS v3 (CHC/UCSB)
2025-07-01,2025,7,256.2,285,-28.8,-10.1,Deficit,CHIRPS v3 (CHC/UCSB)
2025-08-01,2025,8,229.1,263,-33.9,-12.9,Deficit,CHIRPS v3 (CHC/UCSB)
2025-09-01,2025,9,164.1,167,-2.9,-1.7,Normal,CHIRPS v3 (CHC/UCSB)
2025-10-01,2025,10,95.0,70,25.0,35.7,Surplus,CHIRPS v3 (CHC/UCSB)
2025-11-01,2025,11,24.6,29,-4.4,-15.2,Deficit,CHIRPS v3 (CHC/UCSB)
2025-12-01,2025,12,8.7,16,-7.3,-45.6,Deficit,CHIRPS v3 (CHC/UCSB)
2026-01-01,2026,1,14.0,17,-3.0,-17.6,Deficit,CHIRPS v3 (CHC/UCSB)
2026-02-01,2026,2,7.4,22,-14.6,-66.4,Deficit,CHIRPS v3 (CHC/UCSB)
2026-03-01,2026,3,37.2,28,9.2,32.9,Surplus,CHIRPS v3 (CHC/UCSB)
2026-04-01,2026,4,45.1,42,3.1,7.4,Normal,CHIRPS v3 (CHC/UCSB)
2026-05-01,2026,5,64.5,62,2.5,4.0,Normal,CHIRPS v3 (CHC/UCSB)
